Longitude,Latitude,Pixel,Scan
338.970071,-20.1545709,150,4150
338.841771,-20.1540322,200,4150
338.716003,-20.1533928,249,4150
339.35456,-20.0187109,0,4200
339.22633,-20.018515,50,4200
339.098163,-20.0182053,100,4200
338.970026,-20.0177816,150,4200
338.841886,-20.0172441,200,4200
338.716275,-20.0166065,249,4200
339.354037,-19.8819205,0,4250
339.225966,-19.8817238,50,4250
339.097958,-19.8814139,100,4250
338.96998,-19.8809909,150,4250
338.841999,-19.8804548,200,4250
338.716543,-19.8798194,249,4250
339.35352,-19.7451159,0,4300
339.225607,-19.7449179,50,4300
339.097757,-19.7446076,100,4300
338.969936,-19.7441849,150,4300
338.842112,-19.7436499,200,4300
338.716811,-19.7430163,249,4300
339.352998,-19.6083022,0,4350
339.225241,-19.6081031,50,4350
339.097547,-19.6077924,100,4350
338.969883,-19.6073702,150,4350
338.842215,-19.6068363,200,4350
338.717067,-19.6062046,249,4350
339.352477,-19.4714949,0,4400
339.224876,-19.4712946,50,4400
339.097338,-19.4709835,100,4400
338.969829,-19.4705616,150,4400
338.842317,-19.4700288,200,4400
338.717321,-19.4693989,249,4400
339.351961,-19.3346675,0,4450
339.224515,-19.334466,50,4450
339.097131,-19.3341544,100,4450
338.969776,-19.3337327,150,4450
338.842418,-19.3332009,200,4450
338.717573,-19.3325727,249,4450
339.351451,-19.1978367,0,4500
339.224157,-19.1976342,50,4500
339.096926,-19.1973224,100,4500
338.969725,-19.1969012,150,4500
338.84252,-19.1963708,200,4500
338.717826,-19.1957446,249,4500
339.350943,-19.0610066,0,4550
339.223802,-19.060803,50,4550
339.096724,-19.0604908,100,4550
338.969674,-19.0600701,150,4550
338.842622,-19.0595407,200,4550
338.718076,-19.0589164,249,4550
339.350438,-18.9241678,0,4600
339.223448,-18.9239632,50,4600
339.09652,-18.9236507,100,4600
338.969622,-18.9232304,150,4600
338.842721,-18.9227023,200,4600
338.718323,-18.9220799,249,4600
339.349934,-18.7873253,0,4650
339.223094,-18.7871196,50,4650
339.096316,-18.7868069,100,4650
338.969568,-18.7863871,150,4650
338.842816,-18.7858603,200,4650
338.718566,-18.7852399,249,4650
339.349437,-18.6504797,0,4700
339.222747,-18.6502731,50,4700
339.096118,-18.6499602,100,4700
338.969518,-18.6495409,150,4700
338.842916,-18.6490154,200,4700
338.718812,-18.6483969,249,4700
339.348941,-18.5136305,0,4750
339.222398,-18.5134227,50,4750
339.095917,-18.5131093,100,4750
338.969465,-18.5126904,150,4750
338.843011,-18.5121659,200,4750
338.719051,-18.5115493,249,4750
339.348443,-18.3767667,0,4800
339.222048,-18.3765576,50,4800
339.095713,-18.3762437,100,4800
338.969409,-18.375825,150,4800
338.843101,-18.3753014,200,4800
338.719285,-18.3746863,249,4800
339.347946,-18.2399049,0,4850
339.221696,-18.2396947,50,4850
339.095508,-18.2393805,100,4850
